entrezid1	entrezid2
6667	5210
6667	5155
6667	9659
6667	54760
6667	51585
6667	5089
6667	10298
6667	400961
6667	26986
6667	5007
6667	4928
6667	4306
6667	7376
6667	4854
6667	8996
6667	51701
6667	4802
6667	4779
6667	4778
6667	25915
6667	54820
6667	57701
6667	26151
6667	29895
6667	80198
6667	100129405
6667	55154
6667	51320
6667	644890
6667	4209
6667	4204
6667	9656
6667	28985
6667	54799
6667	114785
6667	4144
6667	22983
6667	7867
6667	9064
6667	4296
6667	84232
6667	100526664
6667	4065
6667	80131
6667	652276
6667	85329
6667	3945
6667	3931
6667	3880
6667	79412
6667	8609
6667	688
6667	10749
6667	55818
6667	54793
6667	283219
6667	131096
6667	3750
6667	3727
6667	3725
6667	10625
6667	3688
6667	3685
6667	3684
6667	3663
6667	51447
6667	3643
6667	3621
6667	388324
6667	3485
6667	10642
6667	3459
6667	389792
6667	3422
6667	3417
6667	3397
6667	27429
6667	3312
6667	3265
6667	3217
6667	11100
6667	3192
6667	3280
6667	64224
6667	10013
6667	64412
6667	2912
6667	2870
6667	2875
6667	63940
6667	56834
6667	2719
6667	7918
6667	2686
6667	26088
6667	2535
6667	9513
6667	285527
6667	8061
6667	2339
6667	2314
6667	23770
6667	55033
6667	2232
6667	283932
6667	54620
6667	2194
6667	9855
6667	80256
6667	9917
6667	11336
6667	115704
6667	79033
6667	2056
6667	10919
6667	112398
6667	51162
6667	1896
6667	1847
6667	23549
6667	3338
6667	27120
6667	1719
6667	1655
6667	54541
6667	84301
6667	23142
6667	90379
6667	147906
6667	10858
6667	55917
6667	1489
6667	58190
6667	64651
6667	1431
6667	200186
6667	1394
6667	79174
6667	23603
6667	1178
6667	54921
6667	79586
6667	11261
6667	84181
6667	1951
6667	1032
6667	1030
6667	51265
6667	8999
6667	1020
6667	1017
6667	1001
6667	993
6667	9308
6667	905
6667	894
6667	6364
6667	57332
6667	23261
6667	808
6667	23705
6667	83638
6667	9689
6667	695
6667	84446
6667	10380
6667	90427
6667	602
6667	9564
6667	573
6667	91647
6667	1386
6667	421
6667	409
6667	406
6667	5926
6667	8289
6667	128272
6667	116985
6667	334
6667	84266
6667	64400
6667	84335
6667	183
